CloneID	Chromosome	Start	End	Case1.Ref	Case1.Test	Case2.Ref	Case2.Test	Case3.Ref	Case3.Test
RP11-313K24	1	11566733	11754749	53	66	NA	NA	NA	NA
RP11-505J17	1	11631349	11771410	812	1191	900	1288	527	408
RP11-196P5	1	11785508	11941220	688	903	717	924	491	365
RP11-613L5	1	11908458	12064653	269	226	NA	NA	287	152
RP11-654N5	1	12062076	12236504	929	1710	954	1054	1392	1110
RP11-456P13	1	12166900	12434417	227	249	239	352	593	380
RP11-724G7	1	12342047	12531076	440	663	577	674	641	551
RP11-333P22	1	12354959	12531076	847	1025	800	1218	1460	1283
RP11-610K11	1	12434418	12600000	NA	NA	271	333	374	190
RP11-675L6	1	12625910	12801955	372	368	320	397	565	326
RP11-583G23	1	12741739	12953456	669	610	956	976	NA	NA
RP11-785E7	1	12953457	13093352	NA	NA	NA	NA	NA	NA
RP11-527B16	1	12966618	13079465	NA	NA	NA	NA	NA	NA
RP11-707I5	1	13075472	13262718	NA	NA	NA	NA	662	348
RP11-615K4	1	13387490	13575935	NA	NA	NA	NA	175	86
RP11-572B23	1	13550225	13709230	741	950	839	1268	828	781
RP11-649J6	1	13642800	13844992	183	200	209	297	NA	NA
RP11-470E2	1	13826686	14020574	895	989	990	1420	821	488
RP11-714G17	1	14009316	14202613	1715	2551	1609	2417	3259	2806
RP11-181N12	1	14159968	14326604	243	282	266	314	584	371
RP11-399N4	1	14359850	14576483	516	627	762	860	828	514
RP11-666O15	1	14424506	14466245	167	158	127	165	NA	NA
RP11-86F11	1	14519848	14679807	207	223	NA	NA	405	239
RP11-19M4	1	14528238	14649571	3369	3841	2791	2821	1416	1010
RP11-554C10	1	14644461	14814182	684	725	743	832	2338	1466
RP11-739P13	1	14713766	14881350	NA	NA	449	510	821	462
RP11-315J13	1	14856864	15022385	521	588	622	809	474	327
RP11-664N16	1	14882930	15104430	215	254	232	318	NA	NA
RP11-408B19	1	14941569	15138583	1219	1617	1326	1738	1267	1129
RP11-164M5	1	15038205	15224225	675	810	861	1063	1288	871
RP11-293E7	1	15155132	15363530	1333	1752	1997	2454	2299	1653
RP11-486C1	1	15247900	15419121	1257	1895	1159	2026	1085	851
RP11-797I16	1	15395307	15600631	1210	1830	1404	2051	1518	1114
RP11-496L9	1	15482190	15705116	1217	1846	1209	1905	1256	986
RP11-796I8	1	15625437	15798529	826	1544	1075	1583	1085	898
RP11-566D22	1	15773279	15966655	1061	1553	1229	1501	922	918
RP11-192I18	1	15865843	16024135	109	124	143	158	NA	NA
RP11-794A1	1	15955003	16076663	NA	NA	NA	NA	203	112
RP11-411G18	1	16040829	16212320	201	185	265	269	273	143
RP11-276H7	1	16182059	16350435	NA	NA	238	230	NA	NA
RP11-54H23	1	16320180	16493636	420	423	506	606	608	408
RP11-219J7	1	16422642	16553496	345	361	415	440	560	396
RP11-777P8	1	16511077	16681998	NA	NA	142	157	NA	NA
RP11-45I3	1	16532887	16679708	887	1281	1956	2892	1575	1064
RP11-756D22	1	16592692	16742477	811	1089	1026	1138	1380	1321
RP11-793H14	1	16611450	16655427	602	703	NA	NA	936	588
RP11-561I12	1	16629890	16840000	259	297	452	398	711	430
RP11-354N19	1	16631869	16758676	291	332	NA	NA	995	531
RP11-148H11	1	16668779	16764061	2074	3091	3388	3868	2509	2314
RP11-367J3	1	16720010	16868572	1698	2802	3419	3792	3611	2888
RP11-497I3	1	16922665	17026255	1009	1630	1190	1555	1431	863
RP11-605E5	1	16927084	17110332	NA	NA	NA	NA	NA	NA
RP11-236N20	1	16940084	16979401	253	340	NA	NA	679	392
RP11-615L15	1	16960019	17194807	434	550	588	726	1349	977
RP11-346C15	1	17111894	17298177	1120	1269	1234	1472	2143	1341
RP11-185G12	1	17160750	17318338	304	336	388	502	NA	NA
RP11-504L2	1	17246513	17350416	646	865	NA	NA	1215	1165
RP11-34K18	1	17276123	17422018	2460	3370	2429	3370	4008	2992
RP11-261J13	1	17359617	17521287	379	399	477	501	597	334
RP11-636C13	1	17512704	17656066	255	356	329	436	570	332
RP11-800F16	1	17603237	17785253	1283	1846	1460	2049	2268	2200
RP11-776D16	1	17673233	17796399	836	1252	1124	1441	1397	1328
RP11-213M2	1	17725554	17904642	121	130	NA	NA	181	96
RP11-468N9	1	17885255	18053692	814	871	942	1248	3283	2296
RP11-711N17	1	18027221	18234407	705	745	NA	NA	1804	1045
CTD-2009F7	1	18158026	18362311	540	505	665	764	1036	581
RP11-728G12	1	18246213	18426640	630	715	855	896	986	595
RP11-121A23	1	18372159	18558506	297	353	418	459	707	394
RP11-17H21	1	18372281	18533153	1309	1325	1346	1803	1445	918
RP11-168M6	1	18458491	18624847	1779	2222	2124	2382	2604	2022
RP11-511A13	1	18569676	18745061	898	1114	897	1303	524	330
RP11-164D21	1	18638208	18838680	1095	1187	1336	1603	2652	2181
RP11-412G9	1	18724471	18871388	2119	3472	2418	3417	1161	1229
RP11-466K16	1	18730165	18888210	867	1300	917	924	1114	954
RP11-306H4	1	18919379	19165027	222	234	307	371	439	185
RP11-362F4	1	18988077	19214228	2367	3194	2317	2802	3087	2751
RP11-644J10	1	19170016	19337096	152	155	NA	NA	422	212
RP11-657C12	1	19276958	19448190	311	344	609	672	965	647
RP11-371H15	1	19332164	19501727	1151	1415	1452	1948	3989	3726
RP11-800L4	1	19473171	19651333	909	1197	1306	1678	3364	2709
RP11-795P13	1	19628538	19803294	151	182	217	241	482	272
RP11-746L12	1	19755555	19924321	742	882	866	1201	1494	1065
RP11-460G22	1	19882255	20077814	856	1044	930	1007	1380	946
RP11-66M4	1	19992449	20162611	456	629	436	523	902	584
RP11-805F5	1	20072777	20266940	1413	1430	1295	1347	NA	NA
RP11-457M3	1	20162612	20329934	1377	1907	1785	3040	1805	1225
CTD-2014J23	1	20242550	20395693	388	455	501	539	477	285
RP11-186K3	1	20313791	20472200	95	102	106	133	NA	NA
RP11-374L7	1	20380728	20554761	439	430	561	584	826	392
RP13-481O13	1	20481120	20638854	445	467	540	547	1298	718
RP11-242F23	1	20491277	20659808	578	671	NA	NA	864	646
RP11-367G13	1	20542373	20732274	1061	1572	1052	1560	1224	912
RP11-401M16	1	20545687	20738965	148	177	NA	NA	254	117
RP11-200J11	1	20681569	20851636	187	184	320	379	NA	NA
RP11-293H1	1	20776194	20941507	NA	NA	124	133	215	105
RP11-685E1	1	20992429	21157229	163	189	NA	NA	169	124
RP11-657L17	1	21062844	21198166	236	449	NA	NA	251	220
RP11-713M24	1	21120968	21261172	217	213	263	391	341	362
RP11-474I18	1	21144576	21319747	NA	NA	148	171	NA	NA
RP11-610E8	1	21254392	21541084	NA	NA	NA	NA	NA	NA
RP11-460H24	1	21392212	21600955	851	926	1254	1504	2705	1871
RP11-702G12	1	21485547	21683831	398	355	500	495	NA	NA
RP11-577A4	1	21682890	21930714	522	773	595	680	728	515
RP11-521N9	1	21749478	21930714	330	394	425	471	565	386
RP11-561D3	1	21856435	21958112	114	69	NA	NA	NA	NA
RP11-598I15	1	21880538	22068428	89	96	122	130	NA	NA
RP11-26H16	1	21980519	22165480	1316	1801	NA	NA	684	480
RP11-456M4	1	22068597	22241463	1795	2220	1377	2156	1964	1918
RP11-415K20	1	22282637	22466532	207	251	NA	NA	NA	NA
RP11-134M9	1	22332412	22493249	725	1193	811	1256	894	740
RP11-466J21	1	22419398	22666840	1188	1637	1217	1539	1783	1397
RP11-410J10	1	22666244	22831410	NA	NA	NA	NA	1122	989
RP11-695I8	1	22738826	22919335	384	494	538	587	522	322
RP11-431G10	1	22881954	23056666	815	1137	987	1016	2967	2468
RP11-109P19	1	23015001	23172625	425	352	298	378	NA	NA
RP11-77P5	1	23044510	23227415	305	337	434	449	634	363
RP11-513J16	1	23096358	23292700	422	671	537	889	937	739
RP11-43I13	1	23204710	23348008	160	184	187	197	283	169
RP11-809B5	1	23353824	23516812	122	105	NA	NA	299	137
RP11-818B10	1	23503746	23730837	NA	NA	NA	NA	NA	NA
RP11-57F20	1	23544768	23723237	109	150	132	144	NA	NA
RP11-551M5	1	23560494	23706176	119	115	NA	NA	188	118
RP11-705H24	1	23596071	23790388	848	961	NA	NA	721	625
RP11-561B17	1	23711020	23936248	475	587	493	628	454	259
RP11-8D9	1	23837750	24005959	880	1182	917	1107	456	318
CTD-2155F18	1	23934322	24023483	109	115	134	134	NA	NA
RP11-125H4	1	24012084	24163925	1198	1618	1215	1727	418	315
RP11-579L14	1	24029041	24038090	NA	NA	991	1091	NA	NA
RP11-674O22	1	24059524	24237101	852	1619	724	1180	663	683
RP11-23K15	1	24092909	24268418	155	180	210	224	495	260
CTD-2103F18	1	24133186	24299730	NA	NA	NA	NA	566	392
RP11-384H10	1	24207321	24415038	498	695	407	514	924	738
RP11-100A7	1	24296408	24485346	NA	NA	303	356	666	400
CTD-2160K14	1	24345958	24488165	NA	NA	NA	NA	NA	NA
RP11-43P7	1	24394889	24550514	753	872	962	1256	1000	652
RP11-43N9	1	24394890	24550515	252	307	314	372	524	271
RP11-191O23	1	24402568	24541923	308	311	437	777	612	409
CTD-2320E7	1	24476780	24573421	130	148	NA	NA	NA	NA
RP11-580N24	1	24502775	24649624	645	1053	683	901	423	252
RP11-595I7	1	24524966	24731943	373	400	508	582	518	448
CTD-2215B3	1	24629995	24725286	116	107	NA	NA	NA	NA
RP13-482C3	1	24649625	24741441	118	166	124	155	324	200
RP11-295F15	1	24717221	24898814	329	325	431	419	823	428
RP11-108J9	1	24746217	24954668	228	260	256	371	438	306
RP11-593L24	1	24844896	25035319	841	1118	972	1155	1691	1242
RP11-550K7	1	24856413	25093377	1136	1217	1244	1321	1328	1025
RP11-101D17	1	24900000	25064486	NA	NA	NA	NA	NA	NA
RP11-459O20	1	25005312	25185774	1404	2261	1822	2050	2694	2246
RP11-597I7	1	25139556	25295035	231	239	228	248	357	219
RP11-335G20	1	25327725	25507851	1475	2110	1690	2837	3952	3527
RP11-157K8	1	25377037	25514614	327	379	325	497	789	467
RP11-448K3	1	25383914	25514614	550	712	465	727	1113	735
RP13-487H18	1	25444953	25508494	290	308	NA	NA	781	494
RP11-70P17	1	25500609	25764932	1135	1198	1402	1541	3331	2258
RP11-109B4	1	25649355	25847275	3061	3619	3447	3974	2635	2378
RP13-849E4	1	25661691	25822869	342	263	424	462	628	355
RP11-590J23	1	25709601	25903119	484	565	517	619	653	463
RP11-65E18	1	25737048	25924750	NA	NA	81	87	NA	NA
RP11-16E9	1	25754090	25908105	989	1227	1303	1636	1637	1308
RP11-229A14	1	25813958	25972967	128	148	NA	NA	306	189
RP11-39G19	1	25844918	25998061	836	1092	974	1284	970	988
RP11-111D20	1	25933613	26098018	NA	NA	NA	NA	NA	NA
RP11-50L24	1	25998062	26139697	395	455	449	570	658	548
RP11-349K8	1	26098016	26273406	527	687	546	752	408	392
RP11-629P14	1	26236224	26440068	427	432	465	432	522	317
RP11-423L24	1	26277246	26475166	1051	1030	1248	1628	3054	2281
RP11-758G19	1	26428736	26593739	499	625	784	788	1938	1652
CTD-2592C3	1	26464987	26649522	NA	NA	NA	NA	NA	NA
RP11-443P17	1	26562115	26753166	NA	NA	NA	NA	NA	NA
RP11-362I4	1	26666091	26845652	648	791	NA	NA	1165	935
CTD-2240C5	1	26762251	26861131	NA	NA	NA	NA	NA	NA
RP11-816P24	1	26811390	27005135	113	95	167	162	NA	NA
RP11-492E20	1	26840817	27005135	NA	NA	NA	NA	NA	NA
RP11-1005F7	1	27017218	27190559	121	123	NA	NA	128	76
CTD-2538F21	1	27188425	27389104	125	140	235	288	144	98
RP11-355G14	1	27275746	27486996	846	1313	964	1139	898	794
RP11-621I13	1	27291137	27466459	471	522	473	563	496	333
RP11-583I13	1	27345415	27543513	253	280	356	367	583	342
RP11-582D15	1	27408549	27640605	649	1074	1019	1401	1031	890
RP11-973A19	1	27457105	27677844	655	933	949	1183	834	659
RP11-553K16	1	27571700	27770043	1159	1491	1191	1554	NA	NA
RP11-427O24	1	27740679	27902562	121	144	191	217	NA	NA
RP11-762L23	1	27843634	27999913	383	472	393	488	650	473
RP11-758C4	1	27920043	28085946	433	433	535	573	NA	NA
RP11-559B9	1	28025856	28195911	93	102	NA	NA	NA	NA
RP11-667P18	1	28053060	28261964	1051	1327	964	1057	1162	959
RP11-665H8	1	28245266	28397581	451	741	543	777	NA	NA
RP13-485J14	1	28629964	28749294	NA	NA	NA	NA	NA	NA
RP11-318E23	1	28803975	28976163	NA	NA	NA	NA	NA	NA
RP11-245H18	1	28938613	29074346	129	138	169	155	400	222
RP11-265A7	1	28984433	29122678	127	181	144	182	317	204
RP11-619P9	1	29072194	29234052	241	320	191	263	NA	NA
RP11-467D18	1	29200098	29392736	NA	NA	514	572	1409	1042
RP11-26P17	1	29227285	29401665	507	623	803	786	1038	700
RP11-242L13	1	29369329	29565604	2045	2532	1960	2508	NA	NA
RP11-81K3	1	29392898	29580917	278	278	319	346	717	373
RP11-810H18	1	29412179	29677264	669	691	812	998	832	527
RP11-501K7	1	29521087	29704910	1089	1543	1567	1822	2990	2343
RP11-376P8	1	29772895	29923540	271	261	NA	NA	522	331
RP11-343P8	1	29892429	30059076	1242	1280	3690	5564	5125	5570
RP11-333N8	1	29895974	30076651	517	504	NA	NA	686	390
RP11-179G8	1	29905739	30084193	1700	1892	1706	2255	2835	2777
RP11-168D14	1	29973196	30136396	250	260	343	422	507	338
RP11-262L8	1	30112836	30318335	433	391	547	622	1107	713
RP11-201L4	1	30257576	30437505	NA	NA	155	213	435	250
RP11-651G24	1	30333219	30505910	2164	3213	2054	2375	2746	2572
RP11-99L20	1	30447156	30601449	NA	NA	NA	NA	370	172
RP11-639P11	1	30463931	30649203	470	552	564	921	744	478
RP11-282M4	1	30561730	30723852	635	659	773	836	1951	1202
RP11-294J15	1	30723853	30928207	541	597	715	855	1140	719
RP11-51C12	1	30894283	31064806	778	845	1059	1261	1080	747
RP11-638H12	1	30953166	31193701	462	441	538	557	1127	522
RP11-201O14	1	31128685	31300077	62	78	82	89	165	104
RP11-490K7	1	31245752	31420493	410	473	407	542	NA	NA
RP11-297M13	1	31385916	31579385	368	454	464	621	484	418
RP11-637C8	1	31457688	31621724	323	294	370	386	684	398
RP11-135H23	1	31582801	31735767	1049	1323	1155	1690	1620	1631
RP11-629A12	1	31618016	31837496	271	358	NA	NA	310	189
RP11-73M7	1	31699459	31884258	NA	NA	NA	NA	NA	NA
RP11-757P15	1	31952282	32122640	352	533	406	484	466	480
RP11-467H18	1	32040547	32194558	130	152	NA	NA	NA	NA
RP11-318L19	1	32142345	32333679	183	252	251	326	507	353
RP11-277E16	1	32174260	32341060	NA	NA	NA	NA	616	354
RP11-68H10	1	32193550	32383439	NA	NA	NA	NA	NA	NA
RP11-601F1	1	32201762	32380401	244	268	319	334	NA	NA
RP11-358I24	1	32385859	32529360	312	435	416	565	605	558
RP11-279P5	1	32505659	32673534	NA	NA	182	180	402	182
RP11-425I15	1	32626279	32771206	97	109	138	161	NA	NA
RP11-14L10	1	32744739	32940330	472	491	725	762	686	479
RP11-114B7	1	32780130	32942681	194	217	218	273	295	149
RP11-336O20	1	32911210	33087958	834	1255	1070	1530	908	948
RP11-276H9	1	33050035	33211475	NA	NA	NA	NA	NA	NA
RP11-133F9	1	33082385	33250915	101	106	159	175	NA	NA
RP11-573P6	1	33136801	33343983	420	448	556	622	635	432
RP11-777F21	1	33277319	33468304	1264	1649	1366	1602	2058	1916
RP11-94H24	1	33469299	33630881	NA	NA	NA	NA	340	218
RP11-433N19	1	33516049	33668201	675	1056	1080	1593	1575	1456
RP11-396A6	1	33630258	33840253	443	474	NA	NA	671	447
RP11-125D21	1	33897914	34057178	286	348	313	402	362	209
RP11-114D7	1	33974766	34140925	137	153	NA	NA	379	182
RP11-207N22	1	34088431	34281068	307	336	NA	NA	412	236
RP11-26F12	1	34183259	34357799	1705	2131	NA	NA	1370	1078
RP11-652M21	1	34226467	34382842	1070	1591	2091	3129	812	688
RP11-489I6	1	34237179	34413559	622	500	697	879	1070	548
RP11-166O15	1	34318110	34495934	339	376	NA	NA	839	465
RP11-620G1	1	34554423	34751236	1248	1254	1235	1864	1177	930
RP11-428M11	1	34679769	34826729	2804	4244	2795	3572	2735	2392
RP11-664E8	1	34783305	34944906	575	651	580	765	1083	943
RP11-460N5	1	34789444	34978001	1443	1701	1709	1855	3157	2421
RP11-394E21	1	34796384	34956234	473	514	549	661	879	604
RP11-665G19	1	34889087	35074544	1498	2208	1382	1826	2348	2188
RP11-612O20	1	34913795	35107178	465	628	665	664	473	360
RP11-144M9	1	35045398	35227972	471	799	586	782	675	524
RP11-563C2	1	35172961	35365968	NA	NA	NA	NA	NA	NA
RP11-10D24	1	35228294	35374996	783	1077	831	990	686	551
RP11-158E15	1	35322965	35496348	219	222	339	361	534	341
RP11-75L23	1	35377326	35521694	188	203	256	268	515	239
RP11-745H3	1	35484573	35675586	298	299	345	489	626	467
RP11-809M4	1	35592286	35786822	567	577	786	846	1352	718
RP11-452M14	1	35681449	35886190	475	694	616	649	921	706
RP11-435D7	1	35740036	35960104	152	166	177	201	NA	NA
RP11-595E21	1	35795315	36026910	137	151	162	177	380	226
RP11-159J11	1	35910028	36057092	NA	NA	NA	NA	NA	NA
RP11-776D13	1	36093764	36257625	71	88	NA	NA	172	115
RP11-805F9	1	36193831	36373234	1194	1668	1688	2082	508	455
RP11-238O13	1	36297440	36440743	287	359	333	511	382	315
RP11-519P5	1	36325324	36526425	515	796	478	677	1066	776
RP11-702B17	1	36495442	36722728	168	134	NA	NA	NA	NA
RP11-593A21	1	36557628	36738152	723	662	958	1030	1291	708
CTD-2013G23	1	36691286	36885155	327	381	431	491	504	309
RP11-5J9	1	36853577	37036331	1189	1125	1538	1748	1670	1119
RP11-266M12	1	37013625	37178046	478	449	585	636	757	415
RP11-730E3	1	37066866	37251334	764	743	1019	1211	1828	1302
RP11-345F4	1	37272422	37492262	1252	1847	1104	1741	1399	1095
RP11-454E3	1	37312768	37492262	468	521	645	790	1002	771
RP11-460H23	1	37415751	37577879	391	415	432	613	873	580
RP11-508M23	1	37528979	37730870	473	636	448	597	828	685
RP11-560P20	1	37593697	37760633	138	147	161	176	NA	NA
RP11-566C13	1	37672045	37836419	NA	NA	NA	NA	NA	NA
RP11-100D11	1	37800432	37977639	NA	NA	NA	NA	NA	NA
RP11-109P14	1	37839311	38049099	NA	NA	NA	NA	NA	NA
RP11-656I1	1	37963534	38177532	350	460	475	690	NA	NA
RP11-47J3	1	38083235	38255947	1496	2291	1433	2321	1603	1339
RP11-394F4	1	38099592	38290756	475	624	436	587	764	637
RP11-775L13	1	38168676	38349014	3150	4806	3146	4616	3322	3419
RP11-214L19	1	38188407	38395155	1568	2111	2148	3118	1670	1438
RP11-605D16	1	38346243	38539985	993	1181	1012	1444	1215	771
RP11-329N22	1	38430837	38622055	286	274	337	376	437	276
RP11-633P10	1	38525723	38681429	474	486	552	612	1112	633
RP11-368J17	1	38605387	38789992	1194	1458	1494	2207	3573	2933
RP11-165L19	1	38748730	38903513	423	452	456	542	561	285
RP11-679G9	1	38808468	38954421	519	605	NA	NA	880	626
RP11-608G12	1	38875479	39083708	145	161	197	250	NA	NA
RP11-445L12	1	38959948	39156903	619	837	NA	NA	1002	916
RP11-345N12	1	39127251	39311568	365	433	438	504	554	442
RP11-528I12	1	39266424	39434451	1475	1950	1410	1799	1517	1720
RP11-659O9	1	39298546	39487616	353	572	568	760	570	481
RP11-319E14	1	39314196	39465256	515	605	485	676	581	485
RP11-216E21	1	39445147	39576954	401	603	495	813	775	583
RP11-69E11	1	39540484	39707966	760	1131	948	1042	811	591
RP11-314P18	1	39640048	39773607	143	138	NA	NA	NA	NA
CTD-2001D20	1	39738825	39880438	NA	NA	266	325	415	300
RP11-428O4	1	39791179	39974594	983	1051	1408	1643	3996	2947
RP11-318B17	1	39934313	40092507	201	194	NA	NA	516	230
RP11-419E8	1	39968416	40180797	270	294	221	252	686	468
CTD-2180H16	1	40033768	40152967	93	82	NA	NA	NA	NA
CTD-2204G2	1	40056621	40152967	244	318	299	311	530	361
RP11-747C18	1	40068675	40255698	608	619	489	794	1722	1294
RP11-350G5	1	40207797	40401173	147	146	151	175	273	166
RP11-656D10	1	40497675	40695434	622	895	669	1043	783	861
RP11-585B6	1	40544510	40695434	154	178	188	211	325	212
RP11-280O10	1	40682436	40836316	232	219	NA	NA	378	239
